City,Date,Season,Team1,Team2,Venue,TossWinner,TossDecision,WinningTeam,method,Umpire1,Umpire2,players_team1,players_team2,Total_Team1_Performance_score,Total_Team2_Performance_score
Hyderabad,2016-05-06,2016,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,field,Sunrisers Hyderabad,,M Erasmus,S Ravi,"['David Warner', 'Shikhar Dhawan', 'Kane Williamson', 'Yuvraj Singh', 'Moises Henriques', 'Naman Ojha', 'Deepak Hooda', 'Bhuvneshwar Kumar', 'Barinder Sran', 'Ashish Nehra', 'Mustafizur Rahman']","['Aaron Finch', 'Dwayne Smith', 'Brendon Mccullum', 'Suresh Raina', 'Dinesh Karthik', 'Ravindra Jadeja', 'Dwayne Bravo', 'Pradeep Sangwan', 'Praveen Kumar', 'Dhawal Kulkarni', 'Shivil Kaushik']",3.0780949366789576,2.5035187498529017
Chandigarh,2016-05-07,2016,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Daredevils,field,Kings XI Punjab,,HDPK Dharmasena,CK Nandan,"['Murali Vijay', 'Marcus Stoinis', 'Hashim Amla', 'Glenn Maxwell', 'David Miller', 'Wriddhiman Saha', 'Axar Patel', 'Gurkeerat Mann Singh', 'Kc Cariappa', 'Mohit Sharma', 'Sandeep Sharma']","['Quinton De Kock', 'Rishabh Pant', 'Sanju Samson', 'Karun Nair', 'Sam Billings', 'Carlos Brathwaite', 'Chris Morris', 'Amit Mishra', 'Mohammad Shami', 'Zaheer Khan', 'Shahbaz Nadeem']",2.348362319679194,2.045944722580104
Bangalore,2016-05-07,2016,Royal Challengers Bangalore,Rising Pune Supergiants,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,CB Gaffaney,BNJ Oxenford,"['Kl Rahul', 'Virat Kohli', 'Ab De Villiers', 'Travis Head', 'Shane Watson', 'Sachin Baby', 'Stuart Binny', 'Parveez Rasool', 'Chris Jordan', 'Varun Aaron', 'Yuzvendra Chahal']","['Ajinkya Rahane', 'Usman Khawaja', 'Saurabh Tiwary', 'Ms Dhoni', 'Thisara Perera', 'George Bailey', 'Rajat Bhatia', 'Adam Zampa', 'Ravichandran Ashwin', 'Ashok Dinda', 'Rp Singh']",2.317216818806627,2.38817971574758
Visakhapatnam,2016-05-08,2016,Mumbai Indians,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,field,Sunrisers Hyderabad,,S Ravi,C Shamshuddin,"['Rohit Sharma', 'Parthiv Patel', 'Ambati Rayudu', 'Jos Buttler', 'Krunal Pandya', 'Kieron Pollard', 'Hardik Pandya', 'Harbhajan Singh', 'Tim Southee', 'Mitchell Mcclenaghan', 'Jasprit Bumrah']","['David Warner', 'Shikhar Dhawan', 'Kane Williamson', 'Moises Henriques', 'Yuvraj Singh', 'Deepak Hooda', 'Naman Ojha', 'Bhuvneshwar Kumar', 'Barinder Sran', 'Ashish Nehra', 'Mustafizur Rahman']",2.8519794302031802,3.0780949366789576
Kolkata,2016-05-08,2016,Kolkata Knight Riders,Gujarat Lions,Eden Gardens,Gujarat Lions,field,Gujarat Lions,,M Erasmus,RJ Tucker,"['Robin Uthappa', 'Gautam Gambhir', 'Manish Pandey', 'Shakib Al Hasan', 'Yusuf Pathan', 'Andre Russell', 'Suryakumar Yadav', 'Brad Hogg', 'Piyush Chawla', 'Morne Morkel', 'Umesh Yadav']","['Dwayne Smith', 'Brendon Mccullum', 'Suresh Raina', 'Dinesh Karthik', 'Aaron Finch', 'Dwayne Bravo', 'Ravindra Jadeja', 'Praveen Kumar', 'Dhawal Kulkarni', 'Shivil Kaushik', 'Pravin Tambe']",2.4530941475336348,2.5277485661239933
Chandigarh,2016-05-09,2016,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,field,Royal Challengers Bangalore,,AK Chaudhary,HDPK Dharmasena,"['Murali Vijay', 'Marcus Stoinis', 'Hashim Amla', 'David Miller', 'Farhaan Behardien', 'Wriddhiman Saha', 'Axar Patel', 'Mohit Sharma', 'Anureet Singh', 'Sandeep Sharma', 'Kc Cariappa']","['Virat Kohli', 'Kl Rahul', 'Ab De Villiers', 'Shane Watson', 'Travis Head', 'Sachin Baby', 'Stuart Binny', 'Chris Jordan', 'Iqbal Abdulla', 'Varun Aaron', 'Yuzvendra Chahal']",2.165725126775442,2.3379477338194845
Visakhapatnam,2016-05-10,2016,Rising Pune Supergiants,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,,CB Gaffaney,VK Sharma,"['Ajinkya Rahane', 'Usman Khawaja', 'Saurabh Tiwary', 'Ms Dhoni', 'Thisara Perera', 'George Bailey', 'Rajat Bhatia', 'Ravichandran Ashwin', 'Adam Zampa', 'Ashok Dinda', 'Rp Singh']","['David Warner', 'Shikhar Dhawan', 'Kane Williamson', 'Yuvraj Singh', 'Moises Henriques', 'Deepak Hooda', 'Naman Ojha', 'Bhuvneshwar Kumar', 'Barinder Sran', 'Ashish Nehra', 'Mustafizur Rahman']",2.38817971574758,3.0780949366789576
Bangalore,2016-05-11,2016,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians,,AY Dandekar,C Shamshuddin,"['Chris Gayle', 'Kl Rahul', 'Virat Kohli', 'Ab De Villiers', 'Shane Watson', 'Sachin Baby', 'Stuart Binny', 'Chris Jordan', 'Sreenath Aravind', 'Varun Aaron', 'Yuzvendra Chahal']","['Rohit Sharma', 'Parthiv Patel', 'Ambati Rayudu', 'Krunal Pandya', 'Nitish Rana', 'Jos Buttler', 'Kieron Pollard', 'Harbhajan Singh', 'Tim Southee', 'Mitchell Mcclenaghan', 'Jasprit Bumrah']",2.7284383177672167,2.868261746638893
Hyderabad,2016-05-12,2016,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,field,Delhi Daredevils,,K Bharatan,M Erasmus,"['David Warner', 'Shikhar Dhawan', 'Kane Williamson', 'Yuvraj Singh', 'Moises Henriques', 'Naman Ojha', 'Deepak Hooda', 'Bhuvneshwar Kumar', 'Barinder Sran', 'Ashish Nehra', 'Mustafizur Rahman']","['Quinton De Kock', 'Mayank Agarwal', 'Sanju Samson', 'Karun Nair', 'Jp Duminy', 'Rishabh Pant', 'Jayant Yadav', 'Chris Morris', 'Amit Mishra', 'Nathan Coulter-Nile', 'Mohammad Shami']",3.0780949366789576,2.2871427610688317
Visakhapatnam,2016-05-13,2016,Mumbai Indians,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,bat,Kings XI Punjab,,HDPK Dharmasena,CK Nandan,"['Rohit Sharma', 'Unmukt Chand', 'Ambati Rayudu', 'Nitish Rana', 'Kieron Pollard', 'Jos Buttler', 'Krunal Pandya', 'Harbhajan Singh', 'Tim Southee', 'Mitchell Mcclenaghan', 'Jasprit Bumrah']","['Murali Vijay', 'Hashim Amla', 'Glenn Maxwell', 'David Miller', 'Marcus Stoinis', 'Wriddhiman Saha', 'Gurkeerat Mann Singh', 'Axar Patel', 'Mohit Sharma', 'Kc Cariappa', 'Sandeep Sharma']",2.662915078151148,2.348362319679194
Bangalore,2016-05-14,2016,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium,Gujarat Lions,field,Royal Challengers Bangalore,,AY Dandekar,VK Sharma,"['Chris Gayle', 'Kl Rahul', 'Virat Kohli', 'Ab De Villiers', 'Shane Watson', 'Sachin Baby', 'Stuart Binny', 'Chris Jordan', 'Sreenath Aravind', 'Varun Aaron', 'Yuzvendra Chahal']","['Dwayne Smith', 'Brendon Mccullum', 'Ravindra Jadeja', 'Dinesh Karthik', 'Aaron Finch', 'Akshdeep Nath', 'Dwayne Bravo', 'Praveen Kumar', 'Dhawal Kulkarni', 'Shivil Kaushik', 'Pravin Tambe']",2.7284383177672167,2.2376989330231423
Kolkata,2016-05-14,2016,Kolkata Knight Riders,Rising Pune Supergiants,Eden Gardens,Rising Pune Supergiants,bat,Kolkata Knight Riders,D/L,A Nand Kishore,BNJ Oxenford,"['Robin Uthappa', 'Gautam Gambhir', 'Manish Pandey', 'Suryakumar Yadav', 'Shakib Al Hasan', 'Yusuf Pathan', 'Andre Russell', 'Piyush Chawla', 'Morne Morkel', 'Ankit Rajpoot', 'Sunil Narine']","['Ajinkya Rahane', 'Usman Khawaja', 'Saurabh Tiwary', 'George Bailey', 'Ms Dhoni', 'Thisara Perera', 'Irfan Pathan', 'Ravichandran Ashwin', 'Adam Zampa', 'Murugan Ashwin', 'Ashok Dinda']",2.540837355652054,2.3328634933758687
Visakhapatnam,2016-05-15,2016,Mumbai Indians,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils,field,Mumbai Indians,,Nitin Menon,CK Nandan,"['Rohit Sharma', 'Martin Guptill', 'Ambati Rayudu', 'Nitish Rana', 'Jos Buttler', 'Kieron Pollard', 'Krunal Pandya', 'Harbhajan Singh', 'Vinay Kumar', 'Mitchell Mcclenaghan', 'Jasprit Bumrah']","['Quinton De Kock', 'Mayank Agarwal', 'Karun Nair', 'Sanju Samson', 'Rishabh Pant', 'Jp Duminy', 'Chris Morris', 'Amit Mishra', 'Imran Tahir', 'Shahbaz Nadeem', 'Zaheer Khan']",2.6597293268840096,2.296581638176655
Chandigarh,2016-05-15,2016,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bat,Sunrisers Hyderabad,,KN Ananthapadmanabhan,M Erasmus,"['Murali Vijay', 'Hashim Amla', 'Glenn Maxwell', 'David Miller', 'Marcus Stoinis', 'Wriddhiman Saha', 'Gurkeerat Mann Singh', 'Axar Patel', 'Mohit Sharma', 'Sandeep Sharma', 'Anureet Singh']","['David Warner', 'Shikhar Dhawan', 'Moises Henriques', 'Yuvraj Singh', 'Ben Cutting', 'Naman Ojha', 'Deepak Hooda', 'Karn Sharma', 'Bhuvneshwar Kumar', 'Ashish Nehra', 'Mustafizur Rahman']",2.3538274329032203,3.178703589676428
Kolkata,2016-05-16,2016,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,CB Gaffaney,A Nand Kishore,"['Gautam Gambhir', 'Robin Uthappa', 'Manish Pandey', 'Suryakumar Yadav', 'Shakib Al Hasan', 'Yusuf Pathan', 'Andre Russell', 'Piyush Chawla', 'Morne Morkel', 'Ankit Rajpoot', 'Sunil Narine']","['Chris Gayle', 'Virat Kohli', 'Kl Rahul', 'Ab De Villiers', 'Shane Watson', 'Sachin Baby', 'Stuart Binny', 'Chris Jordan', 'Sreenath Aravind', 'Iqbal Abdulla', 'Yuzvendra Chahal']",2.540837355652054,2.708087079851083
Visakhapatnam,2016-05-17,2016,Rising Pune Supergiants,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants,field,Rising Pune Supergiants,D/L,Nitin Menon,C Shamshuddin,"['Ajinkya Rahane', 'Usman Khawaja', 'George Bailey', 'Saurabh Tiwary', 'Ms Dhoni', 'Thisara Perera', 'Irfan Pathan', 'Ravichandran Ashwin', 'Adam Zampa', 'Deepak Chahar', 'Ashok Dinda']","['Shreyas Iyer', 'Quinton De Kock', 'Karun Nair', 'Sanju Samson', 'Rishabh Pant', 'Jp Duminy', 'Chris Morris', 'Amit Mishra', 'Mohammad Shami', 'Nathan Coulter-Nile', 'Zaheer Khan']",2.3927387756463943,2.483350785245148
Bangalore,2016-05-18,2016,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,field,Royal Challengers Bangalore,D/L,KN Ananthapadmanabhan,M Erasmus,"['Chris Gayle', 'Virat Kohli', 'Ab De Villiers', 'Shane Watson', 'Kl Rahul', 'Sachin Baby', 'Stuart Binny', 'Chris Jordan', 'Sreenath Aravind', 'Varun Aaron', 'Yuzvendra Chahal']","['Murali Vijay', 'Hashim Amla', 'Wriddhiman Saha', 'David Miller', 'Farhaan Behardien', 'Gurkeerat Mann Singh', 'Kyle Abbott', 'Axar Patel', 'Mohit Sharma', 'Sandeep Sharma', 'Kc Cariappa']",2.7284383177672167,2.07830307664392
Kanpur,2016-05-19,2016,Gujarat Lions,Kolkata Knight Riders,Green Park,Gujarat Lions,field,Gujarat Lions,,AK Chaudhary,CK Nandan,"['Dwayne Smith', 'Brendon Mccullum', 'Suresh Raina', 'Aaron Finch', 'Dinesh Karthik', 'Ravindra Jadeja', 'Dwayne Bravo', 'Eklavya Dwivedi', 'Praveen Kumar', 'Dhawal Kulkarni', 'Shadab Jakati']","['Robin Uthappa', 'Gautam Gambhir', 'Manish Pandey', 'Yusuf Pathan', 'Suryakumar Yadav', 'Shakib Al Hasan', 'Jason Holder', 'Piyush Chawla', 'Sunil Narine', 'Morne Morkel', 'Ankit Rajpoot']",2.467676726168487,2.356126575857402
Raipur,2016-05-20,2016,Delhi Daredevils,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,field,Delhi Daredevils,,A Nand Kishore,BNJ Oxenford,"['Quinton De Kock', 'Sanju Samson', 'Karun Nair', 'Rishabh Pant', 'Jp Duminy', 'Pawan Negi', 'Carlos Brathwaite', 'Jayant Yadav', 'Nathan Coulter-Nile', 'Amit Mishra', 'Zaheer Khan']","['David Warner', 'Shikhar Dhawan', 'Deepak Hooda', 'Yuvraj Singh', 'Eoin Morgan', 'Moises Henriques', 'Naman Ojha', 'Karn Sharma', 'Bhuvneshwar Kumar', 'Barinder Sran', 'Mustafizur Rahman']",2.2013616312333752,3.1798642206707726
Kanpur,2016-05-21,2016,Gujarat Lions,Mumbai Indians,Green Park,Gujarat Lions,field,Gujarat Lions,,AK Chaudhary,CK Nandan,"['Dwayne Smith', 'Brendon Mccullum', 'Suresh Raina', 'Dinesh Karthik', 'Aaron Finch', 'Ravindra Jadeja', 'Dwayne Bravo', 'Eklavya Dwivedi', 'Praveen Kumar', 'Dhawal Kulkarni', 'Shadab Jakati']","['Rohit Sharma', 'Martin Guptill', 'Krunal Pandya', 'Kieron Pollard', 'Jos Buttler', 'Hardik Pandya', 'Nitish Rana', 'Harbhajan Singh', 'Vinay Kumar', 'Mitchell Mcclenaghan', 'Jasprit Bumrah']",2.467676726168487,2.429608534020218
Visakhapatnam,2016-05-21,2016,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kings XI Punjab,bat,Rising Pune Supergiants,,HDPK Dharmasena,Nitin Menon,"['Ajinkya Rahane', 'Usman Khawaja', 'George Bailey', 'Saurabh Tiwary', 'Ms Dhoni', 'Thisara Perera', 'Irfan Pathan', 'Ravichandran Ashwin', 'Adam Zampa', 'Ashok Dinda', 'Deepak Chahar']","['Murali Vijay', 'Hashim Amla', 'Wriddhiman Saha', 'David Miller', 'Gurkeerat Mann Singh', 'Axar Patel', 'Farhaan Behardien', 'Rishi Dhawan', 'Kyle Abbott', 'Mohit Sharma', 'Sandeep Sharma']",2.3927387756463943,2.0809000973569978
Kolkata,2016-05-22,2016,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,field,Kolkata Knight Riders,,KN Ananthapadmanabhan,M Erasmus,"['Robin Uthappa', 'Gautam Gambhir', 'Manish Pandey', 'Colin Munro', 'Yusuf Pathan', 'Shakib Al Hasan', 'Suryakumar Yadav', 'Jason Holder', 'Sunil Narine', 'Kuldeep Yadav', 'Ankit Rajpoot']","['Shikhar Dhawan', 'David Warner', 'Moises Henriques', 'Yuvraj Singh', 'Kane Williamson', 'Deepak Hooda', 'Naman Ojha', 'Karn Sharma', 'Bhuvneshwar Kumar', 'Barinder Sran', 'Mustafizur Rahman']",2.2630015205215885,3.0748257075217253
Raipur,2016-05-22,2016,Delhi Daredevils,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,A Nand Kishore,BNJ Oxenford,"['Quinton De Kock', 'Rishabh Pant', 'Karun Nair', 'Sam Billings', 'Carlos Brathwaite', 'Sanju Samson', 'Pawan Negi', 'Chris Morris', 'Jayant Yadav', 'Amit Mishra', 'Zaheer Khan']","['Chris Gayle', 'Virat Kohli', 'Ab De Villiers', 'Kl Rahul', 'Shane Watson', 'Sachin Baby', 'Stuart Binny', 'Chris Jordan', 'Iqbal Abdulla', 'Sreenath Aravind', 'Yuzvendra Chahal']",2.207835301849608,2.708087079851083
Bangalore,2016-05-24,2016,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,AK Chaudhary,HDPK Dharmasena,"['Aaron Finch', 'Brendon Mccullum', 'Suresh Raina', 'Dinesh Karthik', 'Dwayne Smith', 'Ravindra Jadeja', 'Dwayne Bravo', 'Eklavya Dwivedi', 'Shadab Jakati', 'Praveen Kumar', 'Dhawal Kulkarni']","['Chris Gayle', 'Virat Kohli', 'Ab De Villiers', 'Kl Rahul', 'Shane Watson', 'Sachin Baby', 'Stuart Binny', 'Chris Jordan', 'Iqbal Abdulla', 'Sreenath Aravind', 'Yuzvendra Chahal']",2.467676726168487,2.708087079851083
Delhi,2016-05-25,2016,Sunrisers Hyderabad,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders,field,Sunrisers Hyderabad,,M Erasmus,C Shamshuddin,"['Shikhar Dhawan', 'David Warner', 'Moises Henriques', 'Yuvraj Singh', 'Naman Ojha', 'Deepak Hooda', 'Ben Cutting', 'Bipul Sharma', 'Bhuvneshwar Kumar', 'Barinder Sran', 'Mustafizur Rahman']","['Gautam Gambhir', 'Robin Uthappa', 'Manish Pandey', 'Colin Munro', 'Yusuf Pathan', 'Suryakumar Yadav', 'Rajagopal Sathish', 'Jason Holder', 'Kuldeep Yadav', 'Morne Morkel', 'Sunil Narine']",2.9137697005697607,2.2128561987975357
Delhi,2016-05-27,2016,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,M Erasmus,CK Nandan,"['Aaron Finch', 'Brendon Mccullum', 'Suresh Raina', 'Dinesh Karthik', 'Dwayne Smith', 'Ravindra Jadeja', 'Dwayne Bravo', 'Eklavya Dwivedi', 'Praveen Kumar', 'Dhawal Kulkarni', 'Shivil Kaushik']","['David Warner', 'Shikhar Dhawan', 'Moises Henriques', 'Yuvraj Singh', 'Deepak Hooda', 'Ben Cutting', 'Naman Ojha', 'Bipul Sharma', 'Bhuvneshwar Kumar', 'Barinder Sran', 'Trent Boult']",2.508473742961705,2.4501028178923643
Bangalore,2016-05-29,2016,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,,HDPK Dharmasena,BNJ Oxenford,"['Chris Gayle', 'Virat Kohli', 'Ab De Villiers', 'Kl Rahul', 'Shane Watson', 'Sachin Baby', 'Stuart Binny', 'Chris Jordan', 'Iqbal Abdulla', 'Yuzvendra Chahal', 'Sreenath Aravind']","['David Warner', 'Shikhar Dhawan', 'Moises Henriques', 'Yuvraj Singh', 'Deepak Hooda', 'Ben Cutting', 'Naman Ojha', 'Bipul Sharma', 'Bhuvneshwar Kumar', 'Barinder Sran', 'Mustafizur Rahman']",2.708087079851083,2.9137697005697607
Hyderabad,2017-04-05,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,field,Sunrisers Hyderabad,,AY Dandekar,NJ Llong,"['David Warner', 'Shikhar Dhawan', 'Ben Cutting', 'Moises Henriques', 'Yuvraj Singh', 'Deepak Hooda', 'Naman Ojha', 'Bipul Sharma', 'Bhuvneshwar Kumar', 'Ashish Nehra', 'Rashid Khan']","['Chris Gayle', 'Mandeep Singh', 'Shane Watson', 'Kedar Jadhav', 'Sachin Baby', 'Travis Head', 'Stuart Binny', 'Tymal Mills', 'Sreenath Aravind', 'Aniket Choudhary', 'Yuzvendra Chahal']",2.8884865139822544,1.8041613781517822
Pune,2017-04-06,2017,Rising Pune Supergiant,Mumbai Indians,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,field,Rising Pune Supergiant,,A Nand Kishore,S Ravi,"['Ajinkya Rahane', 'Mayank Agarwal', 'Steve Smith', 'Manoj Tiwary', 'Ms Dhoni', 'Ben Stokes', 'Rajat Bhatia', 'Deepak Chahar', 'Adam Zampa', 'Imran Tahir', 'Ashok Dinda']","['Rohit Sharma', 'Parthiv Patel', 'Ambati Rayudu', 'Kieron Pollard', 'Nitish Rana', 'Jos Buttler', 'Hardik Pandya', 'Krunal Pandya', 'Mitchell Mcclenaghan', 'Tim Southee', 'Jasprit Bumrah']",2.5257953740334376,2.8402905647041594
Rajkot,2017-04-07,2017,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,,Nitin Menon,CK Nandan,"['Brendon Mccullum', 'Dwayne Smith', 'Jason Roy', 'Suresh Raina', 'Aaron Finch', 'Dinesh Karthik', 'Manpreet Gony', 'Praveen Kumar', 'Shadab Jakati', 'Dhawal Kulkarni', 'Shivil Kaushik']","['Gautam Gambhir', 'Robin Uthappa', 'Manish Pandey', 'Chris Lynn', 'Yusuf Pathan', 'Suryakumar Yadav', 'Chris Woakes', 'Piyush Chawla', 'Kuldeep Yadav', 'Sunil Narine', 'Trent Boult']",2.4367152719203102,2.574162709450967
Indore,2017-04-08,2017,Kings XI Punjab,Rising Pune Supergiant,Holkar Cricket Stadium,Kings XI Punjab,field,Kings XI Punjab,,AK Chaudhary,C Shamshuddin,"['Hashim Amla', 'Manan Vohra', 'Wriddhiman Saha', 'Glenn Maxwell', 'David Miller', 'Marcus Stoinis', 'Axar Patel', 'Swapnil Singh', 'Mohit Sharma', 'Sandeep Sharma', 'T Natarajan']","['Ajinkya Rahane', 'Mayank Agarwal', 'Steve Smith', 'Manoj Tiwary', 'Ms Dhoni', 'Ben Stokes', 'Rajat Bhatia', 'Rahul Chahar', 'Dan Christian', 'Imran Tahir', 'Ashok Dinda']",2.0160453193597343,2.536165671663799
Bengaluru,2017-04-08,2017,Royal Challengers Bangalore,Delhi Daredevils,M.Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,,S Ravi,VK Sharma,"['Shane Watson', 'Chris Gayle', 'Mandeep Singh', 'Kedar Jadhav', 'Stuart Binny', 'Vishnu Vinod', 'Pawan Negi', 'Yuzvendra Chahal', 'Billy Stanlake', 'Tymal Mills', 'Iqbal Abdulla']","['Sam Billings', 'Aditya Tare', 'Sanju Samson', 'Karun Nair', 'Rishabh Pant', 'Carlos Brathwaite', 'Chris Morris', 'Pat Cummins', 'Shahbaz Nadeem', 'Zaheer Khan', 'Amit Mishra']",1.688949635537367,2.1595568970994514
Hyderabad,2017-04-09,2017,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,field,Sunrisers Hyderabad,,A Deshmukh,NJ Llong,"['David Warner', 'Shikhar Dhawan', 'Moises Henriques', 'Yuvraj Singh', 'Deepak Hooda', 'Ben Cutting', 'Naman Ojha', 'Bipul Sharma', 'Bhuvneshwar Kumar', 'Rashid Khan', 'Ashish Nehra']","['Brendon Mccullum', 'Jason Roy', 'Suresh Raina', 'Aaron Finch', 'Dinesh Karthik', 'Dwayne Smith', 'Praveen Kumar', 'Dhawal Kulkarni', 'Tejas Baroka', 'Basil Thampi', 'Shivil Kaushik']",2.8884865139822544,2.4158841910390363
Mumbai,2017-04-09,2017,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,,Nitin Menon,CK Nandan,"['Parthiv Patel', 'Jos Buttler', 'Rohit Sharma', 'Nitish Rana', 'Krunal Pandya', 'Kieron Pollard', 'Hardik Pandya', 'Harbhajan Singh', 'Mitchell Mcclenaghan', 'Lasith Malinga', 'Jasprit Bumrah']","['Gautam Gambhir', 'Chris Lynn', 'Robin Uthappa', 'Manish Pandey', 'Yusuf Pathan', 'Suryakumar Yadav', 'Chris Woakes', 'Kuldeep Yadav', 'Ankit Rajpoot', 'Sunil Narine', 'Trent Boult']",2.809413517057752,2.4540293188671405
Indore,2017-04-10,2017,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadium,Royal Challengers Bangalore,bat,Kings XI Punjab,,AK Chaudhary,C Shamshuddin,"['Manan Vohra', 'Hashim Amla', 'Wriddhiman Saha', 'Glenn Maxwell', 'David Miller', 'Marcus Stoinis', 'Axar Patel', 'Mohit Sharma', 'Sandeep Sharma', 'Varun Aaron', 'T Natarajan']","['Shane Watson', 'Vishnu Vinod', 'Ab De Villiers', 'Kedar Jadhav', 'Mandeep Singh', 'Stuart Binny', 'Pawan Negi', 'Iqbal Abdulla', 'Tymal Mills', 'Billy Stanlake', 'Yuzvendra Chahal']",2.0928702558749253,1.8401501637707283
Pune,2017-04-11,2017,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,field,Delhi Daredevils,,AY Dandekar,S Ravi,"['Ajinkya Rahane', 'Faf Du Plessis', 'Mayank Agarwal', 'Rahul Tripathi', 'Ben Stokes', 'Ms Dhoni', 'Rajat Bhatia', 'Deepak Chahar', 'Adam Zampa', 'Imran Tahir', 'Ashok Dinda']","['Aditya Tare', 'Sam Billings', 'Karun Nair', 'Rishabh Pant', 'Sanju Samson', 'Corey Anderson', 'Chris Morris', 'Pat Cummins', 'Amit Mishra', 'Zaheer Khan', 'Shahbaz Nadeem']",2.5600133876643705,2.2675875266019205
Mumbai,2017-04-12,2017,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,,Nitin Menon,CK Nandan,"['Jos Buttler', 'Parthiv Patel', 'Rohit Sharma', 'Nitish Rana', 'Krunal Pandya', 'Kieron Pollard', 'Hardik Pandya', 'Harbhajan Singh', 'Mitchell Mcclenaghan', 'Lasith Malinga', 'Jasprit Bumrah']","['David Warner', 'Shikhar Dhawan', 'Yuvraj Singh', 'Deepak Hooda', 'Ben Cutting', 'Naman Ojha', 'Vijay Shankar', 'Rashid Khan', 'Bhuvneshwar Kumar', 'Ashish Nehra', 'Mustafizur Rahman']",2.809413517057752,3.301587260030856
Kolkata,2017-04-13,2017,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,,A Deshmukh,NJ Llong,"['Gautam Gambhir', 'Robin Uthappa', 'Manish Pandey', 'Yusuf Pathan', 'Suryakumar Yadav', 'Chris Woakes', 'Colin De Grandhomme', 'Piyush Chawla', 'Sunil Narine', 'Umesh Yadav', 'Trent Boult']","['Hashim Amla', 'Manan Vohra', 'Glenn Maxwell', 'David Miller', 'Axar Patel', 'Wriddhiman Saha', 'Marcus Stoinis', 'Mohit Sharma', 'Ishant Sharma', 'Sandeep Sharma', 'Varun Aaron']",2.63436864634251,2.1899043342736784
